"","ts_mse"
"Employee 1",20.3379179181672
"Employee 10",22.3902194581103
"Employee 11",49.3057761971308
"Employee 12",27.0225024153142
"Employee 13",20.3140796774545
"Employee 14",19.1813003074411
"Employee 15",10.8154673645277
"Employee 16",54.7442298482633
"Employee 17",19.5823183344604
"Employee 18",22.3817400524846
"Employee 19",16.0478164531866
"Employee 2",15.906490481166
"Employee 20",24.4917014130521
"Employee 21",21.8228824049041
"Employee 22",18.84677864356
"Employee 23",25.1471804974007
"Employee 24",44.2876558635215
"Employee 25",126.083884034169
"Employee 26",42.977969800654
"Employee 27",50.781881929659
"Employee 28",19.6325441849353
"Employee 29",86.1074824053107
"Employee 3",26.9921197043414
"Employee 30",102.235975613876
"Employee 31",20.93050013738
"Employee 32",11.55473451094
"Employee 33",42.4313617049463
"Employee 34",46.68523660704
"Employee 35",64.4408619819049
"Employee 36",NA
"Employee 37",60.1298925134015
"Employee 38",21.0231417652223
"Employee 39",29.191128745491
"Employee 4",22.3579004356969
"Employee 40",31.9794956555108
"Employee 41",26.0808611750656
"Employee 42",14.4751595183692
"Employee 43",32.1724305797434
"Employee 44",30.8689895253145
"Employee 45",15.87597981592
"Employee 46",17.5290867750017
"Employee 47",16.9542131934817
"Employee 48",20.0261596182082
"Employee 49",28.4428304662653
"Employee 5",8.90049525367736
"Employee 50",8.59810723334222
"Employee 51",27.3529502978136
"Employee 52",52.2574797787741
"Employee 53",19.8828866617361
"Employee 54",16.5481376747774
"Employee 55",62.6617367694642
"Employee 56",59.8826450401566
"Employee 57",94.6046710389641
"Employee 58",26.9494368769947
"Employee 59",56.2655864781354
"Employee 6",23.6849923470849
"Employee 60",23.287587204694
"Employee 61",263.373378351641
"Employee 62",15.9412680450555
"Employee 63",21.3270505573602
"Employee 64",17.9792209015033
"Employee 65",22.9223380057178
"Employee 66",23.5516039656552
"Employee 67",44.5805362126708
"Employee 68",30.79546779079
"Employee 69",25.9534589268735
"Employee 7",9.20441038581382
"Employee 70",26.5897737906811
"Employee 71",24.3834416729465
"Employee 72",39.1840032716004
"Employee 73",32.4684308721152
"Employee 74",25.2604992282622
"Employee 8",13.4567695693454
"Employee 9",17.5945965040195
