CustomerID	Month	No_planned_visits	No_executed_visits	No_not_executed_visits	No_adhoc_visits	Day_maximum_difference	Day_maximum_sape	Day_minimum_sape	Day_validation	Mean_SAPE	Std_dev_SAPE	Mean_APE	Squared_error_SAPE_APE	Mean_FPE	Std_dev_FPE	No_ok_validations	No_not_ok_validations	Percent_ok	Percent_not_ok
100000591	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100000640	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100001333	7	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100001345	7	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100001359	7	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100001480	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100001495	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100001549	8	2	2	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100003166	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100003341	12	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100003428	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100003589	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100003670	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100005671	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100006612	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100008087	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100008102	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100008107	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100008600	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100008602	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100008626	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100010218	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100014429	10	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100014438	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100018397	7	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100020777	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100021216	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100022297	7	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100022537	5	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023317	7	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023490	10	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023567	10	2	2	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023572	12	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023815	12	3	1	2	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023915	6	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023915	7	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023971	10	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023971	11	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023971	12	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100023976	12	2	2	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024020	8	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024027	8	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024052	8	4	4	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024076	9	3	2	1	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024076	10	3	3	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024079	9	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024087	9	4	4	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024087	10	4	4	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024088	10	2	2	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024097	9	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024097	10	2	2	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024141	10	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024150	10	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024156	10	2	2	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024166	10	2	2	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024181	10	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024181	11	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024204	11	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024249	11	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024258	11	2	2	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024276	12	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024299	11	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024299	12	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024364	12	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
100024375	12	1	1	0	0				-1			-1.0	-1.0			0	0	0.0	0.0
